obs,ANNO,CONSUMOP,RENTA
1972,1972,13494.512759487,21206.8142752395
1973,1973,16193.4177154328,25656.9242604546
1974,1974,20031.252629428,31323.001935259
1975,1975,23556.753573017,36621.4044450855
1976,1976,28951.2519082134,43916.7057324535
1977,1977,36362.7769163271,55590.0195929946
1978,1978,43708.0523601745,67995.1318019545
1979,1979,51575.5051506737,79496.8026156047
1980,1980,60049.8900147849,91067.583811138
1981,1981,67922.8901470076,101787.554241342
1982,1982,77766.2784128472,117723.68468501
1983,1983,87773.1539913214,134195.713581672
1984,1984,97992.6856826897,152021.011383169
1985,1985,108662.922361256,168590.464341952
1986,1986,122833.231161276,193285.390597767
1987,1987,137365.938239996,217059.18767204
1988,1988,151332.317622877,241445.464161648
1989,1989,170488.737033164,270772.180351712
1990,1990,188137.084850889,300355.552750832
1991,1991,205959.449713317,328584.917000228
1992,1992,224040.069476999,352276.159051843
1993,1993,231281.129421947,364679.46822449
1994,1994,244752.911903646,383598.379671367
