VAA_AGR,EMPLEOS_AGR,NPROV
1.7656577280771,38.4,"ALICANTE"
0.80381296256009,27.5,"CASTELLÓN"
3.51220715357953,66.8,"VALENCIA"
1.65769040029693,36.4,"ALICANTE"
1.08852305876728,27.7,"CASTELLÓN"
3.64975803487323,67.9,"VALENCIA"
1.64540907160999,36,"ALICANTE"
1.02260122096239,24.2,"CASTELLÓN"
3.43692983303959,65.2,"VALENCIA"
1.7232510225522,38.5,"ALICANTE"
1.02754987399213,22.8,"CASTELLÓN"
3.3918862540025,61.5,"VALENCIA"
1.93853549012323,33.6,"ALICANTE"
1.39306388864838,24.2,"CASTELLÓN"
3.22247616123268,60.4,"VALENCIA"
1.95345369232237,29.3,"ALICANTE"
1.67441468024414,20.7,"CASTELLÓN"
3.44729671931356,53.8,"VALENCIA"
1.93705450636981,26.2,"ALICANTE"
1.61546430254684,19.8,"CASTELLÓN"
2.52789478087641,48.7,"VALENCIA"
1.96913044717569,24.3,"ALICANTE"
1.53155393037109,19.3,"CASTELLÓN"
2.60205233321254,45.9,"VALENCIA"
2.11007675463579,22.8,"ALICANTE"
1.68145838346165,18.8,"CASTELLÓN"
2.8024547201394,46.2,"VALENCIA"
1.88731512518771,22.5,"ALICANTE"
1.47838300146764,16.7,"CASTELLÓN"
2.49397664076748,46.2,"VALENCIA"
2.31622246880154,24.9,"ALICANTE"
1.79925077419137,16.7,"CASTELLÓN"
3.05891776036663,45,"VALENCIA"
