obs,PARO,TIEMPO
2007Q1,8.42,1
2007Q2,7.93,2
2007Q3,8.01,3
2007Q4,8.57,4
2008Q1,9.6,5
2008Q2,10.36,6
2008Q3,11.23,7
2008Q4,13.79,8
2009Q1,17.24,9
2009Q2,17.77,10
2009Q3,17.75,11
2009Q4,18.66,12
2010Q1,19.84,13
2010Q2,19.89,14
2010Q3,19.59,15
2010Q4,20.11,16
2011Q1,21.08,17
2011Q2,20.64,18
2011Q3,21.28,19
2011Q4,22.56,20
2012Q1,24.19,21
2012Q2,24.4,22
2012Q3,24.79,23
2012Q4,25.77,24
2013Q1,26.94,25
2013Q2,26.06,26
2013Q3,25.65,27
2013Q4,25.73,28
2014Q1,25.93,29
2014Q2,24.47,30
2014Q3,23.67,31
2014Q4,23.7,32
2015Q1,23.78,33
2015Q2,22.37,34
2015Q3,21.18,35
2015Q4,20.9,36
2016Q1,21,37
2016Q2,20,38
2016Q3,18.91,39
2016Q4,18.63,40
2017Q1,18.75,41
2017Q2,17.22,42
2017Q3,16.38,43
2017Q4,16.55,44
2018Q1,16.74,45
2018Q2,15.28,46
2018Q3,14.55,47
2018Q4,14.45,48
2019Q1,14.7,49
2019Q2,14.02,50
2019Q3,13.92,51
2019Q4,13.78,52
