obs,ANO,PARQUE,CONSUMOG
1985,1985,9094563.16666667,6324.78
1986,1986,9492860.75,6845.16
1987,1987,9976576.75,7308.76
1988,1988,10596676.5833333,7859.3
1989,1989,11199729.5833333,8380.42
1990,1990,11831320.4166667,8721.23
1991,1991,12307641.1666667,9179.21
1992,1992,12912066,9389.78
1993,1993,13334584.25,9439.69
1994,1994,13674429.8333333,9399.27
1995,1995,13991523,9354.2
1996,1996,14554833.4166667,9220.12
1997,1997,15112810.1666667,8960.17
1998,1998,15709115.1666667,8996.98
1999,1999,16540335.1666667,8939.86
2000,2000,17281918.0833333,8529.88
