obs,VIAJEROSCVN,LY,TDayvsWeekend,TD1,TD2,TD3,TD4,TD5,TD6,time
1998M01,7449,0,-0.5,0,0,0,1,1,1,1
1998M02,5468,-0.25,0,0,0,0,0,0,0,2
1998M03,10624,0,-0.5,0,0,-1,-1,-1,-1,3
1998M04,10770,0,2,0,0,1,1,0,0,4
1998M05,10350,0,-4,-1,-1,-1,-1,0,0,5
1998M06,13777,0,2,1,1,0,0,0,0,6
1998M07,14938,0,3,0,0,1,1,1,0,7
1998M08,20035,0,-4,0,-1,-1,-1,-1,0,8
1998M09,15300,0,2,0,1,1,0,0,0,9
1998M10,8760,0,-0.5,0,0,0,1,1,1,10
1998M11,7641,0,-1.5,0,-1,-1,-1,-1,-1,11
1998M12,5846,0,3,0,1,1,1,0,0,12
1999M01,7371,0,-4,-1,-1,-1,-1,0,0,13
1999M02,10808,-0.25,0,0,0,0,0,0,0,14
1999M03,10932,0,3,1,1,1,0,0,0,15
1999M04,12659,0,2,0,0,0,1,1,0,16
1999M05,16083,0,-4,0,-1,-1,-1,-1,0,17
1999M06,17651,0,2,0,1,1,0,0,0,18
1999M07,21867,0,-0.5,0,0,0,1,1,1,19
1999M08,23416,0,-0.5,0,0,-1,-1,-1,-1,20
1999M09,21419,0,2,0,0,1,1,0,0,21
1999M10,12075,0,-4,-1,-1,-1,-1,0,0,22
1999M11,12706,0,2,1,1,0,0,0,0,23
1999M12,7706,0,3,0,0,1,1,1,0,24
2000M01,8656,0,-4,0,-1,-1,-1,-1,0,25
2000M02,10900,0.75,1,0,1,0,0,0,0,26
2000M03,11534,0,3,0,0,1,1,1,0,27
2000M04,12582,0,-5,-1,-1,-1,-1,-1,0,28
2000M05,16584,0,3,1,1,1,0,0,0,29
2000M06,21174,0,2,0,0,0,1,1,0,30
2000M07,23910,0,-4,0,-1,-1,-1,-1,0,31
2000M08,25302,0,3,0,1,1,1,0,0,32
2000M09,25198,0,-1.5,0,0,0,0,1,1,33
2000M10,11883,0,-0.5,0,0,-1,-1,-1,-1,34
2000M11,10343,0,2,0,0,1,1,0,0,35
2000M12,10025,0,-4,-1,-1,-1,-1,0,0,36
2001M01,9240,0,3,1,1,1,0,0,0,37
2001M02,14987,-0.25,0,0,0,0,0,0,0,38
2001M03,16239,0,-0.5,0,0,0,1,1,1,39
2001M04,20113,0,-1.5,0,-1,-1,-1,-1,-1,40
2001M05,18880,0,3,0,1,1,1,0,0,41
2001M06,25168,0,-1.5,0,0,0,0,1,1,42
2001M07,30705,0,-0.5,0,0,-1,-1,-1,-1,43
2001M08,31655,0,3,0,0,1,1,1,0,44
2001M09,23893,0,-5,-1,-1,-1,-1,-1,0,45
2001M10,13586,0,3,1,1,1,0,0,0,46
2001M11,13573,0,2,0,0,0,1,1,0,47
2001M12,9795,0,-4,0,-1,-1,-1,-1,0,48
